CMHC,4.350,2017-Feb-01,100.22,0.18
CMHC,1.750,2018-Jun-15,101.39,0.77
Canada,1.500,2017-Feb-01,100.06,0.35
Canada,1.500,2017-Mar-01,100.14,0.50
Canada,0.250,2017-May-01,99.92,0.53
Canada,4.000,2017-Jun-01,101.34,0.54
Canada,1.250,2017-Aug-01,100.38,0.57
Canada,1.500,2017-Sep-01,100.59,0.57
Canada,0.250,2017-Nov-01,99.71,0.61
Canada,1.250,2018-Feb-01,100.66,0.63
Canada,1.250,2018-Mar-01,100.67,0.65
Canada,0.250,2018-May-01,99.44,0.68
Canada,4.250,2018-Jun-01,104.89,0.70
Canada,0.500,2018-Aug-01,99.65,0.72
Canada,1.250,2018-Sep-01,100.84,0.73
Canada,0.500,2018-Nov-01,99.57,0.74
Canada,0.500,2019-Feb-01,99.47,0.76
Canada,1.750,2019-Mar-01,102.08,0.76
Canada,3.750,2019-Jun-01,106.97,0.80
Canada,1.750,2019-Sep-01,102.40,0.83
Canada,1.500,2020-Mar-01,101.78,0.92
Canada,3.500,2020-Jun-01,108.49,0.94
Canada,0.750,2020-Sep-01,99.15,0.99
Canada,0.750,2021-Mar-01,98.75,1.06
Canada,10.500,2021-Mar-15,138.43,1.06
Canada,3.250,2021-Jun-01,109.33,1.07
Canada,9.750,2021-Jun-01,137.19,1.05
Canada,0.750,2021-Sep-01,98.44,1.10
Canada,0.500,2022-Mar-01,96.63,1.18
Canada,2.750,2022-Jun-01,107.89,1.23
Canada,9.250,2022-Jun-01,141.58,1.24
Canada,1.500,2023-Jun-01,100.73,1.38
Canada,8.000,2023-Jun-01,140.38,1.37
Canada,2.500,2024-Jun-01,107.03,1.49
Canada,2.250,2025-Jun-01,105.08,1.60
Canada,9.000,2025-Jun-01,158.12,1.57
Canada,1.500,2026-Jun-01,98.37,1.69
Canada,1.000,2027-Jun-01,92.47,1.80
Canada,8.000,2027-Jun-01,158.74,1.78
Canada,5.750,2029-Jun-01,141.50,1.96
Canada,5.750,2033-Jun-01,149.22,2.17
Canada,5.000,2037-Jun-01,144.33,2.27
Canada,4.000,2041-Jun-01,131.24,2.32
Canada,3.500,2045-Dec-01,124.93,2.31
Canada,2.750,2048-Dec-01,110.52,2.28
Canada,2.750,2064-Dec-01,114.24,2.26
Cda House Tr,2.050,2017-Jun-15,100.61,0.61
Cda House Tr,1.700,2017-Dec-15,100.95,0.67
Cda House Tr,2.050,2018-Jun-15,101.80,0.78
Cda House Tr,2.350,2018-Dec-15,102.78,0.89
Cda House Tr,4.100,2018-Dec-15,106.08,0.91
Cda House Tr,1.950,2019-Jun-15,102.22,1.02
Cda House Tr,2.000,2019-Dec-15,102.50,1.13
Cda House Tr,3.750,2020-Mar-15,108.03,1.16
Cda House Tr,1.200,2020-Jun-15,99.87,1.24
Cda House Tr,1.450,2020-Jun-15,100.68,1.25
Cda House Tr,1.250,2020-Dec-15,99.65,1.34
Cda House Tr,3.350,2020-Dec-15,107.68,1.33
Cda House Tr,1.250,2021-Jun-15,99.25,1.43
Cda House Tr,3.800,2021-Jun-15,110.13,1.43
Cda House Tr,1.150,2021-Dec-15,98.25,1.52
Cda House Tr,1.500,2021-Dec-15,99.91,1.52
Cda House Tr,2.650,2022-Mar-15,105.33,1.57
Cda House Tr,2.400,2022-Dec-15,103.98,1.69
Cda House Tr,2.350,2023-Sep-15,103.46,1.80
Cda House Tr,3.150,2023-Sep-15,108.47,1.80
Cda House Tr,2.900,2024-Jun-15,106.84,1.91
Cda House Tr,2.550,2025-Mar-15,104.07,2.01
Cda House Tr,1.950,2025-Dec-15,98.92,2.08
Cda House Tr,2.250,2025-Dec-15,101.29,2.09
Cda House Tr,1.900,2026-Sep-15,97.63,2.17
Cda House Tr,1.900,2026-Sep-15,97.12,2.23
