CMHC,4.350,2017-Feb-01,100.15,0.02
CMHC,1.750,2018-Jun-15,101.33,0.80
Canada,1.500,2017-Feb-01,100.05,0.11
Canada,1.500,2017-Mar-01,100.13,0.39
Canada,0.250,2017-May-01,99.92,0.53
Canada,4.000,2017-Jun-01,101.28,0.52
Canada,1.250,2017-Aug-01,100.36,0.57
Canada,1.500,2017-Sep-01,100.56,0.59
Canada,0.250,2017-Nov-01,99.71,0.62
Canada,1.250,2018-Feb-01,100.63,0.64
Canada,1.250,2018-Mar-01,100.66,0.66
Canada,0.250,2018-May-01,99.44,0.69
Canada,4.250,2018-Jun-01,104.81,0.71
Canada,0.500,2018-Aug-01,99.64,0.73
Canada,1.250,2018-Sep-01,100.79,0.75
Canada,0.500,2018-Nov-01,99.54,0.76
Canada,0.500,2019-Feb-01,99.42,0.79
Canada,1.750,2019-Mar-01,102.02,0.78
Canada,3.750,2019-Jun-01,106.87,0.81
Canada,1.750,2019-Sep-01,102.35,0.84
Canada,1.500,2020-Mar-01,101.72,0.94
Canada,3.500,2020-Jun-01,108.42,0.95
Canada,0.750,2020-Sep-01,99.11,1.00
Canada,0.750,2021-Mar-01,98.73,1.07
Canada,10.500,2021-Mar-15,138.26,1.06
Canada,3.250,2021-Jun-01,109.23,1.08
Canada,9.750,2021-Jun-01,137.00,1.06
Canada,0.750,2021-Sep-01,98.40,1.11
Canada,0.500,2022-Mar-01,96.67,1.17
Canada,2.750,2022-Jun-01,107.86,1.23
Canada,9.250,2022-Jun-01,141.59,1.22
Canada,1.500,2023-Jun-01,100.73,1.38
Canada,8.000,2023-Jun-01,140.28,1.37
Canada,2.500,2024-Jun-01,107.06,1.48
Canada,2.250,2025-Jun-01,105.14,1.59
Canada,9.000,2025-Jun-01,158.07,1.57
Canada,1.500,2026-Jun-01,98.44,1.68
Canada,1.000,2027-Jun-01,92.55,1.79
Canada,8.000,2027-Jun-01,158.74,1.77
Canada,5.750,2029-Jun-01,141.48,1.96
Canada,5.750,2033-Jun-01,149.15,2.17
Canada,5.000,2037-Jun-01,144.26,2.27
Canada,4.000,2041-Jun-01,131.09,2.32
Canada,3.500,2045-Dec-01,124.78,2.32
Canada,2.750,2048-Dec-01,110.42,2.29
Canada,2.750,2064-Dec-01,114.04,2.27
Cda House Tr,2.050,2017-Jun-15,100.59,0.61
Cda House Tr,1.700,2017-Dec-15,100.92,0.69
Cda House Tr,2.050,2018-Jun-15,101.75,0.80
Cda House Tr,2.350,2018-Dec-15,102.72,0.91
Cda House Tr,4.100,2018-Dec-15,106.01,0.91
Cda House Tr,1.950,2019-Jun-15,102.16,1.04
Cda House Tr,2.000,2019-Dec-15,102.42,1.15
Cda House Tr,3.750,2020-Mar-15,107.91,1.18
Cda House Tr,1.200,2020-Jun-15,99.78,1.26
Cda House Tr,1.450,2020-Jun-15,100.60,1.27
Cda House Tr,1.250,2020-Dec-15,99.56,1.37
Cda House Tr,3.350,2020-Dec-15,107.55,1.36
Cda House Tr,1.250,2021-Jun-15,99.11,1.46
Cda House Tr,3.800,2021-Jun-15,109.97,1.45
Cda House Tr,1.150,2021-Dec-15,98.14,1.55
Cda House Tr,1.500,2021-Dec-15,99.77,1.55
Cda House Tr,2.650,2022-Mar-15,105.20,1.59
Cda House Tr,2.400,2022-Dec-15,103.79,1.72
Cda House Tr,2.350,2023-Sep-15,103.35,1.81
Cda House Tr,3.150,2023-Sep-15,108.33,1.82
Cda House Tr,2.900,2024-Jun-15,106.73,1.92
Cda House Tr,2.550,2025-Mar-15,103.94,2.02
Cda House Tr,1.950,2025-Dec-15,98.69,2.11
Cda House Tr,2.250,2025-Dec-15,101.11,2.11
Cda House Tr,1.900,2026-Sep-15,97.55,2.18
Cda House Tr,1.900,2026-Sep-15,97.18,2.23
